hand1,hand2,flop,turn,river,flop_quality,flop_dynamic_score
"['Ad', 'Tc']","['8h', '5c']","['Ah', '2h', 'Qc']",['8d'],['4s'],"['Highly connected', 'Two-tone', 'Unpaired', 'Ace high']",4.5
"['Ah', 'Td']","['7d', '5h']","['Jd', '4s', '8s']",['Tc'],['Ad'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Ad', 'Ts']","['6h', '5d']","['8s', '2s', 'Th']",['8d'],['Td'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ad', 'Th']","['5c', '5h']","['Td', '2s', '7s']",['Js'],['3h'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Ah', 'Ts']","['5h', '4h']","['9c', '7c', '2d']",['Qh'],['2h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['As', 'Tc']","['5d', '3d']","['7d', 'Ts', '9d']",['5c'],['Ad'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['Ah', 'Ts']","['5s', '2s']","['Ac', '2h', 'Kd']",['3s'],['5d'],"['Highly connected', 'Rainbow', 'Unpaired', 'Ace high']",3.0
"['As', 'Td']","['Ac', '4d']","['3s', 'Qd', '5h']",['5s'],['4c'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ah', 'Ts']","['Ks', '4c']","['Kc', '9s', '9c']",['Kh'],['6d'],"['Disconnected', 'Two-tone', 'Paired', 'King high']",2.5
"['Ah', 'Ts']","['Qs', '4d']","['4s', '2c', '3s']",['5s'],['Kc'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Ah', 'Td']","['Jd', '4h']","['As', '8s', '2d']",['9d'],['Ad'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ah', 'Td']","['Ts', '4h']","['Kc', '7h', 'Ad']",['2d'],['9d'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Ad', 'Tc']","['9s', '4c']","['Ah', '6c', 'As']",['6d'],['Td'],"['Disconnected', 'Rainbow', 'Paired', 'Ace high']",1.0
"['As', 'Td']","['8d', '4h']","['6s', 'Ts', 'Qs']",['9s'],['Qd'],"['Moderately connected', 'Monotone', 'Unpaired']",4.5
"['As', 'Td']","['7d', '4c']","['Ac', '9h', '3s']",['6h'],['Ad'],"['Disconnected', 'Rainbow', 'Unpaired', 'Ace high']",0.0
"['Ad', 'Ts']","['6c', '4h']","['8h', 'Kc', 'Jh']",['Jc'],['Ks'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['As', 'Td']","['5d', '4h']","['6h', 'Ac', '5h']",['9c'],['8s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ah', 'Ts']","['4d', '4s']","['5s', 'Td', 'Qd']",['Th'],['Ks'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ah', 'Ts']","['4c', '3c']","['5c', '2h', '3s']",['9h'],['5d'],"['Highly connected', 'Rainbow', 'Unpaired']",3.75
"['Ah', 'Td']","['4s', '2s']","['9c', '3s', 'Kc']",['6h'],['4h'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['Ac', 'Th']","['Ah', '3d']","['8d', '8s', '7c']",['Kh'],['5c'],"['Moderately connected', 'Rainbow', 'Paired']",3.25
"['Ad', 'Ts']","['Kd', '3c']","['Qc', '7c', '5c']",['Ks'],['Ah'],"['Moderately connected', 'Monotone', 'Unpaired']",4.5
"['Ac', 'Th']","['Qd', '3s']","['Ks', 'Js', 'Qc']",['3h'],['Tc'],"['Highly connected', 'Two-tone', 'Unpaired', 'King high']",4.5
"['Ac', 'Th']","['Jc', '3s']","['Tc', 'Ah', '8c']",['4c'],['6h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ad', 'Tc']","['Th', '3s']","['2h', '9s', '8h']",['9h'],['Kd'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ac', 'Td']","['9d', '3s']","['3h', '7s', '5d']",['Kh'],['5c'],"['Highly connected', 'Rainbow', 'Unpaired']",3.75
"['As', 'Tc']","['8h', '3d']","['7s', 'Qd', 'Ad']",['6d'],['4c'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['As', 'Td']","['7s', '3c']","['Ac', 'Ad', '7h']",['5c'],['Qh'],"['Disconnected', 'Rainbow', 'Paired', 'Ace high']",1.0
"['Ah', 'Tc']","['6s', '3d']","['Qs', '5c', 'Td']",['Ac'],['9c'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ad', 'Tc']","['5c', '3s']","['5h', 'Qc', '7c']",['Qd'],['5d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['As', 'Tc']","['4d', '3c']","['Ts', 'Ah', 'Js']",['7c'],['6d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ad', 'Tc']","['3s', '3c']","['Td', 'Jd', 'Js']",['2h'],['Jh'],"['Moderately connected', 'Two-tone', 'Paired']",4.0
"['As', 'Th']","['3h', '2h']","['3d', '5h', '4s']",['6d'],['4h'],"['Highly connected', 'Rainbow', 'Unpaired']",3.75
"['As', 'Tc']","['Ah', '2d']","['Kh', 'Jh', '8c']",['Th'],['Ts'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Ad', 'Th']","['Kc', '2s']","['Kd', '7s', '4d']",['2c'],['6c'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['Ac', 'Ts']","['Qh', '2d']","['3c', '2s', '4c']",['Td'],['8s'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Ac', 'Th']","['Jh', '2d']","['6d', '9s', 'Qh']",['6h'],['7c'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ad', 'Ts']","['Th', '2c']","['6d', '2h', '3h']",['As'],['7c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['As', 'Td']","['9c', '2d']","['Qd', '9d', 'Kc']",['Qc'],['5h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Ac', 'Ts']","['8d', '2h']","['Ks', 'Tc', '4h']",['3h'],['Ah'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['Ac', 'Th']","['7h', '2s']","['3s', 'Ts', 'Ad']",['9s'],['9c'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['As', 'Th']","['6d', '2s']","['Tc', '2h', '9d']",['Ac'],['5d'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['As', 'Tc']","['5h', '2c']","['8s', 'Qd', '4s']",['5s'],['Qh'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Ad', 'Ts']","['4h', '2c']","['9h', 'Ks', 'Kh']",['4s'],['Jh'],"['Disconnected', 'Two-tone', 'Paired', 'King high']",2.5
"['Ah', 'Td']","['3s', '2h']","['Ks', '2c', '6d']",['Kc'],['7h'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['As', 'Td']","['2s', '2c']","['2h', 'Qc', 'Qh']",['6c'],['9c'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Kd', 'Tc']","['Qs', 'Td']","['4h', 'Jh', '3d']",['Qc'],['8c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Td']","['Jc', 'Th']","['2c', '3h', '5s']",['Qc'],['8c'],"['Highly connected', 'Rainbow', 'Unpaired']",3.75
"['Ks', 'Td']","['Th', 'Ts']","['Kc', '2s', 'As']",['Jc'],['3s'],"['Highly connected', 'Two-tone', 'Unpaired', 'Ace high']",4.5
"['Kd', 'Th']","['Td', '9d']","['Ac', '5c', '9c']",['6s'],['Ad'],"['Disconnected', 'Monotone', 'Unpaired', 'Ace high']",3.0
"['Kc', 'Th']","['Tc', '8c']","['2d', '5s', '7s']",['Kd'],['3d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Kh', 'Tc']","['Ts', '7c']","['4h', 'Js', '6s']",['8s'],['Th'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Tc']","['Td', '6d']","['2d', '5s', 'Ah']",['2s'],['7d'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Kh', 'Tc']","['Ts', '5c']","['9h', '8h', 'Jh']",['Qh'],['4s'],"['Highly connected', 'Monotone', 'Unpaired']",6.0
"['Kd', 'Th']","['Tc', '4c']","['9d', 'Ks', 'Ad']",['9c'],['5s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kd', 'Tc']","['Ts', '3s']","['Qc', 'Jd', '5d']",['6c'],['Ah'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kc', 'Td']","['Th', '2h']","['8c', '7s', '7d']",['4c'],['Qh'],"['Moderately connected', 'Rainbow', 'Paired']",3.25
"['Ks', 'Td']","['Ad', '9s']","['Qh', '5d', '6d']",['Qs'],['Qd'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ks', 'Td']","['Kh', '9d']","['9c', '7d', 'Th']",['3h'],['8c'],"['Highly connected', 'Rainbow', 'Unpaired']",3.0
"['Kd', 'Tc']","['Qd', '9s']","['3d', '6c', '5d']",['4h'],['9h'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Ks', 'Th']","['Jh', '9s']","['Td', 'Kd', 'Tc']",['7d'],['Kh'],"['Disconnected', 'Two-tone', 'Paired', 'King high']",2.5
"['Ks', 'Td']","['Tc', '9h']","['Js', 'Ac', '4s']",['3c'],['Kc'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Kc', 'Ts']","['9c', '9h']","['Ac', 'Jc', 'Kd']",['5h'],['2h'],"['Highly connected', 'Two-tone', 'Unpaired', 'Ace high']",4.5
"['Kd', 'Ts']","['9h', '8h']","['2h', 'Kh', 'Jc']",['Jh'],['3d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Kd', 'Th']","['9c', '7c']","['7d', 'Qs', '8s']",['3d'],['Ts'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Td']","['9d', '6d']","['5d', '4s', 'As']",['3c'],['9h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kh', 'Tc']","['9d', '5d']","['Qd', '3d', 'Ac']",['8c'],['9h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kc', 'Th']","['9s', '4s']","['4c', 'Qs', '9h']",['5s'],['6h'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ks', 'Td']","['9h', '3h']","['8h', '4d', '5s']",['5d'],['Qd'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Kh', 'Tc']","['9d', '2d']","['Qs', 'Qh', '7c']",['4h'],['Ah'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['Kd', 'Ts']","['Ac', '8s']","['Th', '6c', '7h']",['Ah'],['Jc'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ks', 'Th']","['Kh', '8d']","['2d', '7h', '2c']",['Jd'],['6d'],"['Disconnected', 'Rainbow', 'Paired']",1.75
"['Kc', 'Ts']","['Qs', '8c']","['2s', '2h', '3d']",['7s'],['Qd'],"['Moderately connected', 'Rainbow', 'Paired']",3.25
"['Kc', 'Th']","['Jh', '8c']","['4d', '6s', '4c']",['Tc'],['3s'],"['Moderately connected', 'Rainbow', 'Paired']",3.25
"['Kd', 'Tc']","['Ts', '8d']","['2c', '5d', '4s']",['Qd'],['3c'],"['Highly connected', 'Rainbow', 'Unpaired']",3.75
"['Kc', 'Td']","['9c', '8s']","['Ks', '9d', '3d']",['3c'],['Ah'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['Kd', 'Tc']","['8h', '8d']","['As', '4c', 'Qd']",['Td'],['Ad'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Ks', 'Th']","['8h', '7h']","['2h', 'Ad', '6s']",['6c'],['9h'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Ks', 'Td']","['8c', '6c']","['Kd', '7h', '4d']",['8s'],['Jh'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['Kd', 'Ts']","['8s', '5s']","['5h', 'Ks', 'Kc']",['5c'],['7s'],"['Disconnected', 'Rainbow', 'Paired', 'King high']",1.0
"['Ks', 'Tc']","['8d', '4d']","['Td', '4s', 'Ts']",['3d'],['9s'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Kc', 'Ts']","['8h', '3h']","['Kh', '4d', 'Kd']",['6c'],['2s'],"['Disconnected', 'Two-tone', 'Paired', 'King high']",2.5
"['Kd', 'Tc']","['8d', '2d']","['Qd', '8h', '3s']",['Qc'],['3c'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Kc', 'Ts']","['As', '7h']","['Th', 'Ad', '3s']",['Ac'],['7c'],"['Disconnected', 'Rainbow', 'Unpaired', 'Ace high']",0.0
"['Ks', 'Td']","['Kc', '7d']","['9s', 'Ac', '7c']",['8c'],['6s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ks', 'Td']","['Qs', '7h']","['Kd', '7s', 'Ah']",['2h'],['7d'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Kh', 'Tc']","['Jd', '7s']","['2c', '9d', '7c']",['5d'],['9s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Kc', 'Th']","['Td', '7c']","['Js', '3s', '7d']",['5d'],['Ks'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Kc', 'Ts']","['9h', '7s']","['6h', 'Qc', 'Jd']",['Qs'],['As'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Kd', 'Tc']","['8h', '7d']","['4s', '8s', 'Qh']",['6c'],['3h'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Kc', 'Td']","['7h', '7c']","['Ad', 'Ah', '9h']",['7d'],['5h'],"['Disconnected', 'Two-tone', 'Paired', 'Ace high']",2.5
"['Ks', 'Td']","['7s', '6s']","['Ad', '4c', 'Js']",['6c'],['3h'],"['Disconnected', 'Rainbow', 'Unpaired', 'Ace high']",0.0
"['Ks', 'Tc']","['7s', '5s']","['4h', 'Ac', '3s']",['5c'],['3d'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Ks', 'Td']","['7s', '4s']","['7h', 'Ah', '5d']",['As'],['8d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kc', 'Ts']","['7h', '3h']","['Kh', '9c', '6s']",['Js'],['6d'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['Kh', 'Ts']","['7h', '2h']","['3s', '9c', '8c']",['3d'],['9d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Kc', 'Td']","['Ac', '6s']","['3d', '3h', '2d']",['6d'],['2c'],"['Moderately connected', 'Two-tone', 'Paired']",4.75
"['Kd', 'Tc']","['Ks', '6c']","['9s', '4h', 'Ah']",['4c'],['Js'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Ks', 'Tc']","['Qd', '6s']","['6d', '9s', '5h']",['Ah'],['7h'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Ks', 'Td']","['Jc', '6s']","['Ad', 'Tc', '6c']",['Qd'],['2s'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Kd', 'Ts']","['Th', '6s']","['2c', '2d', 'Kc']",['4d'],['Ah'],"['Disconnected', 'Two-tone', 'Paired', 'King high']",2.5
"['Ks', 'Th']","['9d', '6s']","['Qs', 'Qh', '9h']",['Td'],['As'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Kh', 'Tc']","['8c', '6h']","['2d', 'Th', 'Td']",['Qs'],['3c'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Kd', 'Th']","['7s', '6h']","['3s', '6d', 'Qc']",['Qs'],['Ac'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ks', 'Td']","['6d', '6c']","['9h', '8c', '4h']",['5s'],['Ac'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ks', 'Tc']","['6c', '5c']","['Th', 'Js', '8h']",['Kh'],['5d'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['Kh', 'Td']","['6h', '4h']","['4c', 'As', '6s']",['Th'],['9d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kd', 'Ts']","['6s', '3s']","['4d', 'Kc', '5h']",['2d'],['Td'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Kc', 'Td']","['6c', '2c']","['Kh', 'Jc', 'Ts']",['9d'],['6d'],"['Highly connected', 'Rainbow', 'Unpaired', 'King high']",3.0
"['Kd', 'Th']","['Ac', '5h']","['3c', '9d', 'Ah']",['Kh'],['Js'],"['Disconnected', 'Rainbow', 'Unpaired', 'Ace high']",0.0
"['Kd', 'Ts']","['Ks', '5c']","['4c', '8d', 'Th']",['Qh'],['7c'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ks', 'Td']","['Qc', '5h']","['Ac', '8d', 'Ah']",['6d'],['9h'],"['Disconnected', 'Rainbow', 'Paired', 'Ace high']",1.0
"['Kh', 'Td']","['Jh', '5c']","['7s', '8c', '8s']",['3h'],['Tc'],"['Moderately connected', 'Two-tone', 'Paired']",4.75
"['Ks', 'Td']","['Ts', '5s']","['6c', '9c', '8s']",['9d'],['4d'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Kc', 'Th']","['9c', '5d']","['Qd', 'Ah', '2s']",['6s'],['7s'],"['Highly connected', 'Rainbow', 'Unpaired', 'Ace high']",3.0
"['Ks', 'Th']","['8c', '5s']","['2c', '8s', 'Qc']",['9h'],['Tc'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Kc', 'Th']","['7s', '5c']","['5h', '3d', 'Td']",['8c'],['6c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Ts']","['6s', '5d']","['6h', '2h', '3c']",['9h'],['4s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ks', 'Td']","['5h', '5s']","['6c', '5c', '7s']",['8d'],['Js'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Kh', 'Td']","['5d', '4d']","['Qh', '9d', 'Ac']",['7d'],['8h'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Kh', 'Ts']","['5c', '3c']","['8d', '7h', 'As']",['5s'],['Jc'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Ks', 'Th']","['5c', '2c']","['Jd', 'Ad', '8c']",['9d'],['6d'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Ks', 'Td']","['Ac', '4s']","['5s', 'Tc', '5d']",['6h'],['Qc'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['Kc', 'Th']","['Kh', '4s']","['8s', '2d', '2h']",['Jh'],['3s'],"['Disconnected', 'Rainbow', 'Paired']",1.75
"['Ks', 'Td']","['Qs', '4h']","['6s', '3d', '2h']",['3s'],['5d'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Kc', 'Td']","['Jc', '4h']","['3c', '2c', '6h']",['5h'],['4c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ks', 'Td']","['Ts', '4h']","['Jh', '9d', '4d']",['2s'],['Qd'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kd', 'Tc']","['9s', '4h']","['7h', 'Th', '3c']",['Td'],['Qs'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Kc', 'Th']","['8s', '4c']","['Kd', '7h', 'Qs']",['3c'],['Td'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Kc', 'Th']","['7s', '4h']","['Jc', 'Ad', 'Qd']",['9s'],['3s'],"['Highly connected', 'Two-tone', 'Unpaired', 'Ace high']",4.5
"['Kh', 'Td']","['6c', '4s']","['2d', 'Kc', '4d']",['6h'],['7h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Ks', 'Th']","['5s', '4d']","['Qh', 'Kc', '3d']",['4c'],['5d'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Kh', 'Ts']","['4s', '4d']","['Jh', '6c', '2c']",['3c'],['6h'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Ks', 'Td']","['4d', '3d']","['Ts', '4c', '6c']",['Ac'],['6s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kc', 'Ts']","['4c', '2c']","['Qd', 'Jh', '8h']",['6h'],['9h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kd', 'Tc']","['As', '3h']","['Qh', 'Qd', '4h']",['Ts'],['8d'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Kc', 'Th']","['Kh', '3d']","['6s', 'Kd', '5s']",['2h'],['4c'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Kd', 'Th']","['Qd', '3h']","['8c', '9h', '8s']",['Td'],['Ac'],"['Moderately connected', 'Rainbow', 'Paired']",3.25
"['Kc', 'Th']","['Js', '3h']","['2c', '6s', '2d']",['3c'],['Ac'],"['Disconnected', 'Rainbow', 'Paired']",1.75
"['Kc', 'Td']","['Th', '3s']","['Tc', '6d', '3c']",['4h'],['5s'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Kh', 'Tc']","['9c', '3h']","['2h', '3d', 'Th']",['3s'],['Qc'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Tc']","['8h', '3s']","['7s', 'Jh', 'Js']",['Jc'],['7d'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Kc', 'Ts']","['7s', '3d']","['9h', '4h', '4d']",['5d'],['4s'],"['Disconnected', 'Two-tone', 'Paired']",3.25
"['Kc', 'Td']","['6d', '3c']","['Ad', '8c', '9c']",['Qd'],['Ac'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Kd', 'Th']","['5h', '3c']","['9s', '7s', 'Kh']",['4c'],['Ac'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Kh', 'Tc']","['4h', '3c']","['7d', '8d', '2d']",['8c'],['4c'],"['Moderately connected', 'Monotone', 'Unpaired']",5.25
"['Kc', 'Td']","['3c', '3s']","['Qc', '7s', '6c']",['Th'],['Jd'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ks', 'Th']","['3h', '2h']","['7s', '8h', 'Jh']",['9c'],['6h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kh', 'Tc']","['Ac', '2s']","['Ks', '4h', 'Ad']",['3c'],['5d'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Kh', 'Tc']","['Kd', '2h']","['9d', '2s', '3c']",['5s'],['5c'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Kh', 'Td']","['Qh', '2c']","['Ts', '5d', 'Kc']",['7c'],['6s'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['Kc', 'Td']","['Jc', '2d']","['3d', '8d', '9s']",['Kh'],['3c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ks', 'Th']","['Td', '2c']","['4c', 'Kh', '4d']",['6h'],['Qc'],"['Disconnected', 'Rainbow', 'Paired', 'King high']",1.0
"['Kd', 'Th']","['9c', '2h']","['4s', 'Qd', 'Jh']",['3d'],['Qh'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ks', 'Th']","['8c', '2d']","['7h', 'Jc', 'Qc']",['5s'],['2s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Kd', 'Ts']","['7s', '2h']","['6d', 'Qs', '9c']",['Ac'],['Js'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Kc', 'Ts']","['6c', '2d']","['7c', 'Td', '3c']",['Ks'],['Jd'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Ks', 'Tc']","['5s', '2c']","['7s', 'Qc', '6h']",['8h'],['Ah'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Kc', 'Th']","['4s', '2h']","['5d', 'Ac', '7c']",['4h'],['Ts'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ks', 'Th']","['3c', '2h']","['6h', '9h', '5h']",['Jh'],['Jd'],"['Moderately connected', 'Monotone', 'Unpaired']",5.25
"['Kh', 'Td']","['2h', '2s']","['6d', 'Th', '5c']",['7h'],['5s'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Qs', 'Td']","['Jd', 'Ts']","['6h', 'Kh', '4c']",['4h'],['Js'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Qd', 'Th']","['Ts', 'Tc']","['6d', 'Ac', 'Qc']",['5h'],['Js'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Qh', 'Td']","['Th', '9h']","['Jd', '3h', 'Ad']",['Kd'],['7c'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Qs', 'Tc']","['Th', '8h']","['Qc', '6c', 'Ks']",['Kc'],['Ac'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Qs', 'Tc']","['Ts', '7s']","['6s', '9d', 'Td']",['7h'],['3c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Qc', 'Ts']","['Td', '6d']","['7c', 'Kc', '3c']",['8h'],['Tc'],"['Disconnected', 'Monotone', 'Unpaired', 'King high']",3.0
"['Qs', 'Th']","['Ts', '5s']","['2c', 'Qd', '9c']",['4s'],['6h'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Qc', 'Th']","['Ts', '4h']","['7h', '2s', '6c']",['8h'],['Kh'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Qh', 'Tc']","['Ts', '3s']","['6d', 'Qs', '4s']",['Qc'],['8c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Qc', 'Ts']","['Th', '2h']","['9d', '6h', '6s']",['As'],['2s'],"['Disconnected', 'Rainbow', 'Paired']",1.75
"['Qs', 'Td']","['As', '9h']","['Ac', '6h', '7d']",['3h'],['4h'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Qh', 'Ts']","['Kc', '9d']","['Js', 'Qc', '6h']",['Kd'],['8s'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Qh', 'Ts']","['Qs', '9s']","['6h', '4s', '2s']",['6d'],['3h'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Qc', 'Td']","['Jh', '9s']","['9c', '8c', 'Qd']",['7h'],['5d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Qs', 'Th']","['Ts', '9h']","['4c', 'Qd', '6s']",['Tc'],['9d'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Qc', 'Td']","['9d', '9c']","['As', '4h', '4d']",['Tc'],['2c'],"['Disconnected', 'Rainbow', 'Paired', 'Ace high']",1.0
